;;;;;;;;;;;;;x,,,,
NORMAL_WAR_DISMANTLE_NAME;$ORDER$$FIRST$ Война за разрушение $SECOND$ державы;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ GrцЯer Krieg;Baza;Base:;Base:;Alap:;Zсkladna:;;;;;;;x;;;;;;;;;;;;;;,,,,
AGRESSION_WAR_DISMANTLE_NAME;$ORDER$ Война $FIRST$ агрессии;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;Guerra $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hсborъ;$ORDER$$FIRST$-$SECOND$ vсlka;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects;Унижение нации;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects_desc;Наша держава унижена победителями, а карательный эффект репараций негативно скажется на наших людях. ;;;;;;;;;;;;;x,,,
EVTOPTA96130;Пускай только попробуют!;Laissez-les Venir!;Lassen Sie Kommen!;;;;;;;;;;;x,,,,
EVTNAME96131;Сгладить противоречия;Un Amoindrissement des Tensions;Eine Verminderung von Spannungen;;;;;;;;;;;x,,,,
EVTDESC96131;Великие державы в мире обратили внимание на $COUNTRY_ADJ$ усилия по измению нашей агрессивной политики. Некоторые страны делают попытки к улучшению отношений, и их дипломаты выражают надежду, что государство $COUNTRY$ будет продолжать иметь дело с другими странами в цивилизованной форме.;;;;;;;;;;;;;x,,,
EVTOPTA96131;Спасибо за доверие.;Merci pour le vote de confiance.;Dank fьr die Vertrauensabstimmung.;;;;;;;;;;;x,,,,
EVTNAME96136;$FROMCOUNTRY_ADJ$ ультиматум;$FROMCOUNTRY_ADJ$ Ultimatum;Das $FROMCOUNTRY_ADJ$ Ultimatum;;;;;;;;;;;x,,,,
EVTDESC96136;$FROMCOUNTRY_ADJ$ дипломаты обратились к нашей стране с ультиматумом: распустить $COUNTRY_ADJ$ империю сразу, или великие державы мира будут вынуждены объединиться против нас. Их требования заключаются в следующем: \n \n 1.Возвращения всех незаконно захваченных территорий \n 2. Предоставление независимости всем народам проживающим в настоящее время в наших землях. \n 3. Передача всех колоний и заморских территорий в пользу победителей. \n 4.Согласие государства $COUNTRY$ не объявлять войну любой другой стране в течении не менее десяти лет (походу не работает). \n \n Это Само собой разумеется, что эти требования крайне унизительнs, и $COUNTRY_ADJ$ люди будут справедливо расстраиваться. Если мы не согласимся, тем не менее, $COUNTRY$ столкнется с большой войной, которая может быть катастрафичной.;;;;;;;;;;;;;x
EVTOPTA96136;Ни за что!;Nous refusons!;Wir lehnen ab!;;;;;;;;;;;x,,,,
EVTOPTB96136;У нас нет иного выбора кроме как согласиться.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTNAME96141;Государство $FROMCOUNTRY$ присоединилось к войне;$FROMCOUNTRY$ Dщclare la Guerre;$FROMCOUNTRY$ Erklфrt Krieg;;;;;;;;;;;x,,,,
EVTDESC96141;Мы получили телеграмму от государство $FROMCOUNTRY$: они объявили войну против нас, и будут продолжать войну до тех пор, пока $COUNTRY$ не будет разоружена и не сдастся на волю международного сообщества.;;;;;;;;;;;;;x,,,
EVTOPTA96141;Мы будем посмотреть (дословно).;Je doute de lui.;Ich bezweifele es.;;;;;;;;;;;x,,,,
EVTNAME96150;$COUNTRY_ADJ$ триумф;$COUNTRY$ est Triomphante;$COUNTRY$ ist Triumphierend;;;;;;;;;;;x,,,,
EVTDESC96150;Мы доказали, что ни одна страна не может стоять на пути $COUNTRY_ADJ$ армий. Мы сделаем, как нам заблагорассудится, и никакое количество возражений со стороны так называемых великих держав мира не будет сдерживать нас от достижения нашей судьбы. Пока что мы в мире, но если другие страны пытаются остановить нас от достижения нашей цели на будущее, они могут поплатиться.;;;;;;;;;;;;;x,
EVTOPTA96150;Отлично!;Excellent!;Ausgezeichnet!;;;;;;;;;;;x,,,,
